NEEDS_FIXING,PRONOUNCE,SYLLABARY
,dà:natǔ:gā,ᏓᎾᏚᎦ
*,dà:ni:gowhtíha,ᏓᏂᎪwᏘᎭ
,dà:ni:gò:wahtā,ᏓᏂᎪᏩᏔ
,dà:ni:hyé,ᏓᏂᏰ
,dà:ni:hyé:ʔa,ᏓᏂᏰᎠ
,dà:ni:lâ:wì.,ᏓᏂᎳᏫ.
,dà:ni:lâ:wì:ga.,ᏓᏂᎳᏫᎦ.
,dà:ni:sdayo:hihv̋.,ᏓᏂᏍᏓᏲᎯᎲ.
,dà:ni:sdayo:hihv̋:ʔi,ᏓᏂᏍᏓᏲᎯᎲᎢ
,dà:ni:sdǐ:gā,ᏓᏂᏍᏗᎦ
,dà:ni:tade:gv̀:gā,ᏓᏂᏔᏕᎬᎦ
,dà:nohlga,ᏓᏃꮅᎦ
,dà:nohlgó,ᏓᏃꮅᎪ
,dà:nohlgó:ʔi,ᏓᏃꮅᎪᎢ
,dà:nàtǔ:gía,ᏓᎾᏚᎩᎠ
,dà:nì:hlǐ:sā,ᏓᏂᏟᏌ
,dà:nì:sdǐ:gíʔa,ᏓᏂᏍᏗᎩᎠ
,dàsdǐ:gíʔa,ᏓᏍᏗᎩᎠ
,"dè:jádó dé:widi, chá:li, ale já:ni","ᏕᏣᏙ ᏕᏫᏗ, ᏣᎵ, ᎠᎴ ᏣᏂ"
,dé:da:dǐ:tā,ᏕᏓᏗᏔ
,dé:dada:dohlga,ᏕᏓᏓᏙꮅᎦ
,dé:dada:dohlgó,ᏕᏓᏓᏙꮅᎪ
,dé:dada:dohlgó:ʔi,ᏕᏓᏓᏙꮅᎪᎢ
*,dé:dada:gowhtíha,ᏕᏓᏓᎪwᏘᎭ
*,dé:dada:gowhtǐ:sgó,ᏕᏓᏓᎪwᏘᏍᎪ
*,dé:dada:gowhtǐ:sgóʔi,ᏕᏓᏓᎪwᏘᏍᎪᎢ
*,dé:dadaktǒ:sdā,ᏕᏓᏓkᏙᏍᏓ
*,dé:dadà:ktǒ:sdí:sgó,ᏕᏓᏓkᏙᏍᏗᏍᎪ
*,dé:dadà:ktǒ:sdí:sgó:ʔi,ᏕᏓᏓkᏙᏍᏗᏍᎪᎢ
,dé:datǔ:gā,ᏕᏓᏚᎦ
*,dé:di:gowhtíha,ᏕᏗᎪwᏘᎭ
,dé:di:gò:wahtā,ᏕᏗᎪᏩᏔ
,dé:di:hyé,ᏕᏗᏰ
,dé:di:hyé:ʔa,ᏕᏗᏰᎠ
,dé:di:sdǐ:gā,ᏕᏗᏍᏗᎦ
,dé:di:tade:gv̀:gā,ᏕᏗᏔᏕᎬᎦ
,dé:dohlga,ᏕᏙꮅᎦ
,dé:dohlgó,ᏕᏙꮅᎪ
,dé:dohlgó:ʔi,ᏕᏙꮅᎪᎢ
,dé:dàtǔ:gía,ᏕᏓᏚᎩᎠ
,dé:dì:hlǐ:sā,ᏕᏗᏟᏌ
,dé:dì:sdǐ:gíʔa,ᏕᏗᏍᏗᎩᎠ
,dé:gada:dohljv̌,ᏕᎦᏓᏙꮅᏨ
,dé:gada:dohljv̌:ʔi,ᏕᎦᏓᏙꮅᏨᎢ
,dé:gada:go:hv̌,ᏕᎦᏓᎪᎲ
,dé:gada:go:hv̌:ʔi,ᏕᎦᏓᎪᎲᎢ
,dé:gadadu:lv:hv̌,ᏕᎦᏓᏚᎸᎲ
,dé:gadadu:lv:hv̌:ʔi,ᏕᎦᏓᏚᎸᎲᎢ
,dé:gadadu:líha,ᏕᎦᏓᏚᎵᎭ
,dé:gi:go:hv̌,ᏕᎩᎪᎲ
,dé:gi:go:hv̌:ʔi,ᏕᎩᎪᎲᎢ
,dé:gi:ha,ᏕᎩᎭ
,dé:gi:hv̌,ᏕᎩᎲ
,dé:gi:hv̌:ʔi,ᏕᎩᎲᎢ
,dé:gi:hyá:ʔv̌,ᏕᎩᏯᎥ
,dé:gi:hyá:ʔv̌:ʔi,ᏕᎩᏯᎥᎢ
,dé:gi:hé:sdi,ᏕᎩᎮᏍᏗ
,dé:gi:hó,ᏕᎩᎰ
,dé:gi:hó:ʔi,ᏕᎩᎰᎢ
,dé:gi:káha,ᏕᎩᎧᎭ
,dé:gi:ne:hv̌,ᏕᎩᏁᎲ
,dé:gi:ne:hv̌:ʔi,ᏕᎩᏁᎲᎢ
,dé:gi:ne:hó,ᏕᎩᏁᎰ
,dé:gi:ne:hó:ʔi,ᏕᎩᏁᎰᎢ
,dé:gi:náó,ᏕᎩᎾᎣ
,dé:gi:náó:ʔi,ᏕᎩᎾᎣᎢ
,dé:gi:náʔa,ᏕᎩᎾᎠ
,dé:gi:tade:gâ:nv̌,ᏕᎩᏔᏕᎦᏅ
,dé:gi:tade:gâ:nv̌:ʔi,ᏕᎩᏔᏕᎦᏅᎢ
,dé:gi:tade:gí,ᏕᎩᏔᏕᎩ
,dé:gi:tade:gí:ʔa,ᏕᎩᏔᏕᎩᎠ
,dé:gi:yò:sǐ:sā,ᏕᎩᏲᏏᏌ
,dé:gi:yó:siha,ᏕᎩᏲᏏᎭ
,dé:gohljv̌,ᏕᎪꮅᏨ
,dé:gohljv̌:ʔi,ᏕᎪꮅᏨᎢ
,dé:gv̌:yê:sdi,ᏕᎬᏰᏍᏗ
*,dé:gà:ktǒ:stánv̌,ᏕᎦkᏙᏍᏔᏅ
*,dé:gà:ktǒ:stánv̌:ʔi,ᏕᎦkᏙᏍᏔᏅᎢ
,dé:gàtǔ:gî:sv̌,ᏕᎦᏚᎩᏒ
,dé:gàtǔ:gî:sv̌:ʔi,ᏕᎦᏚᎩᏒᎢ
,dé:gì:sdí:gv̌,ᏕᎩᏍᏗᎬ
,dé:gì:sdí:gv̌:ʔi,ᏕᎩᏍᏗᎬᎢ
,dé:gí:du:hnv̌,ᏕᎩᏚᏅ
,dé:gí:du:hnv̌:ʔi,ᏕᎩᏚᏅᎢ
,dé:gù:di:tahv̌,ᏕᎫᏗᏔᎲ
,dé:gù:di:tahv̌:ʔi,ᏕᎫᏗᏔᎲᎢ
,"dé:gī""v",ᏕᎩᎥ
,dé:ja:dǐ:tā,ᏕᏣᏗᏔ
,dé:jada:dohlgó,ᏕᏣᏓᏙꮅᎪ
,dé:jada:dohlgó:ʔi,ᏕᏣᏓᏙꮅᎪᎢ
,dé:jada:dohljv̌,ᏕᏣᏓᏙꮅᏨ
,dé:jada:dohljv̌:ʔi,ᏕᏣᏓᏙꮅᏨᎢ
,dé:jada:go:hv̌,ᏕᏣᏓᎪᎲ
,dé:jada:go:hv̌:ʔi,ᏕᏣᏓᎪᎲᎢ
,dé:jada:gò:wahtā,ᏕᏣᏓᎪᏩᏔ
,dé:jadadu:lv:hv̌,ᏕᏣᏓᏚᎸᎲ
,dé:jadadu:lv:hv̌:ʔi,ᏕᏣᏓᏚᎸᎲᎢ
,dé:jadadu:líha,ᏕᏣᏓᏚᎵᎭ
,dé:jatǔ:gā,ᏕᏣᏚᎦ
,dé:ji:go:hv̌,ᏕᏥᎪᎲ
,dé:ji:go:hv̌:ʔi,ᏕᏥᎪᎲᎢ
,dé:ji:gò:wahtā,ᏕᏥᎪᏩᏔ
,dé:ji:ha,ᏕᏥᎭ
,dé:ji:hv̌,ᏕᏥᎲ
,dé:ji:hv̌:ʔi,ᏕᏥᎲᎢ
,dé:ji:hyá:ʔv̌,ᏕᏥᏯᎥ
,dé:ji:hyá:ʔv̌:ʔi,ᏕᏥᏯᎥᎢ
,dé:ji:hyé,ᏕᏥᏰ
,dé:ji:hyé:sgó,ᏕᏥᏰᏍᎪ
,dé:ji:hyé:sgó:ʔi,ᏕᏥᏰᏍᎪᎢ
,dé:ji:hyé:ʔa,ᏕᏥᏰᎠ
,dé:ji:hé:sdi,ᏕᏥᎮᏍᏗ
,dé:ji:hó,ᏕᏥᎰ
,dé:ji:hó:ʔi,ᏕᏥᎰᎢ
,dé:ji:káha,ᏕᏥᎧᎭ
,dé:ji:ne:hv̌,ᏕᏥᏁᎲ
,dé:ji:ne:hv̌:ʔi,ᏕᏥᏁᎲᎢ
,dé:ji:ne:hó,ᏕᏥᏁᎰ
,dé:ji:ne:hó:ʔi,ᏕᏥᏁᎰᎢ
,dé:ji:náó,ᏕᏥᎾᎣ
,dé:ji:náó:ʔi,ᏕᏥᎾᎣᎢ
,dé:ji:náʔa,ᏕᏥᎾᎠ
,dé:ji:néha,ᏕᏥᏁᎭ
,dé:ji:sdǐ:gā,ᏕᏥᏍᏗᎦ
,dé:ji:yò:sǐ:sā,ᏕᏥᏲᏏᏌ
,dé:johlga,ᏕᏦꮅᎦ
,dé:johlgā,ᏕᏦꮅᎦ
,dé:johljv̌,ᏕᏦꮅᏨ
,dé:johljv̌:ʔi,ᏕᏦꮅᏨᎢ
,dé:jv̂:ya,ᏕᏨᏯ
,dé:jv̌:yó,ᏕᏨᏲ
,dé:jv̌:yóʔi,ᏕᏨᏲᎢ
,dé:jàtǔ:gía,ᏕᏣᏚᎩᎠ
,dé:jàtǔ:gî:sv̌,ᏕᏣᏚᎩᏒ
,dé:jàtǔ:gî:sv̌:ʔi,ᏕᏣᏚᎩᏒᎢ
,dé:jì:sdí:gv̌,ᏕᏥᏍᏗᎬ
,dé:jì:sdí:gv̌:ʔi,ᏕᏥᏍᏗᎬᎢ
,dé:jì:sdǐ:gíʔa,ᏕᏥᏍᏗᎩᎠ
,dé:jù:di:tahv̌,ᏕᏧᏗᏔᎲ
,dé:jù:di:tahv̌:ʔi,ᏕᏧᏗᏔᎲᎢ
,"dé:jī""v",ᏕᏥᎥ
,dé:na:dǐ:tā,ᏕᎾᏗᏔ
,dé:nada:dohlga,ᏕᎾᏓᏙꮅᎦ
,dé:nada:dohlgó,ᏕᎾᏓᏙꮅᎪ
,dé:nada:dohlgó:ʔi,ᏕᎾᏓᏙꮅᎪᎢ
*,dé:nada:gowhtíha,ᏕᎾᏓᎪwᏘᎭ
*,dé:nada:gowhtǐ:sgó,ᏕᎾᏓᎪwᏘᏍᎪ
*,dé:nada:gowhtǐ:sgóʔi,ᏕᎾᏓᎪwᏘᏍᎪᎢ
*,dé:nadaktǒ:sdā,ᏕᎾᏓkᏙᏍᏓ
*,dé:nadà:ktǒ:sdí:sgó,ᏕᎾᏓkᏙᏍᏗᏍᎪ
*,dé:nadà:ktǒ:sdí:sgó:ʔi,ᏕᎾᏓkᏙᏍᏗᏍᎪᎢ
,dé:natǔ:gā,ᏕᎾᏚᎦ
*,dé:ni:gowhtíha,ᏕᏂᎪwᏘᎭ
,dé:ni:gò:wahtā,ᏕᏂᎪᏩᏔ
,dé:ni:hyé,ᏕᏂᏰ
,dé:ni:hyé:ʔa,ᏕᏂᏰᎠ
,dé:ni:sdǐ:gā,ᏕᏂᏍᏗᎦ
,dé:ni:tade:gv̀:gā,ᏕᏂᏔᏕᎬᎦ
,dé:nohlga,ᏕᏃꮅᎦ
,dé:nohlgó,ᏕᏃꮅᎪ
,dé:nohlgó:ʔi,ᏕᏃꮅᎪᎢ
,dé:nà:tǔ:gî:sgó,ᏕᎾᏚᎩᏍᎪ
,dé:nà:tǔ:gî:sgó:ʔi,ᏕᎾᏚᎩᏍᎪᎢ
,dé:nàtǔ:gía,ᏕᎾᏚᎩᎠ
,dé:nì:hlǐ:sā,ᏕᏂᏟᏌ
,dé:nì:sdǐ:gíʔa,ᏕᏂᏍᏗᎩᎠ
,dé:nì:sdǐ:gî:sgó,ᏕᏂᏍᏗᎩᏍᎪ
,dé:nì:sdǐ:gî:sgó:ʔi,ᏕᏂᏍᏗᎩᏍᎪᎢ
*,dé:tstade:gv̀:gā,ᏕtᏍᏔᏕᎬᎦ
*,dé:tstade:gí,ᏕtᏍᏔᏕᎩ
*,dé:tstade:gí:ʔa,ᏕtᏍᏔᏕᎩᎠ
*,dé:wid ji:sd,ᏕᏫd ᏥᏍd
*,dé:wid ji:sd dà:gwadó,ᏕᏫd ᏥᏍd ᏓᏆᏙ
*,dé:wid! yv:wi áhni!,ᏕᏫd! ᏴᏫ ᎠᏂ!
*,"dé:wid, chá:li, ale já:n dè:jádó","ᏕᏫd, ᏣᎵ, ᎠᎴ Ꮳn ᏕᏣᏙ"
,dé:widi ji:sdu,ᏕᏫᏗ ᏥᏍᏚ
,dé:widi ji:sdu dà:gwadó:a,ᏕᏫᏗ ᏥᏍᏚ ᏓᏆᏙᎠ
,dé:widi! yv:wi áhani!,ᏕᏫᏗ! ᏴᏫ ᎠᎭᏂ!
,"dé:widi, chá:li, ale já:ni dè:jádó:ʔa","ᏕᏫᏗ, ᏣᎵ, ᎠᎴ ᏣᏂ ᏕᏣᏙᎠ"
,dì:di:tade:gv̀,ᏗᏗᏔᏕᎬ
,dì:di:tade:gv̀:ga,ᏗᏗᏔᏕᎬᎦ
,dì:dihnó:gi.,ᏗᏗᏃᎩ.
,dì:gi:nehdi,ᏗᎩᏁᏗ
,dì:gi:tadě:gô:di,ᏗᎩᏔᏕᎪᏗ
,dì:gi:yò:sǐ:sa,ᏗᎩᏲᏏᏌ
,dì:ji:nehdi,ᏗᏥᏁᏗ
,dì:ji:yò:sǐ:sa,ᏗᏥᏲᏏᏌ
,dì:jigo:lǐ:ya.,ᏗᏥᎪᎵᏯ.
,dì:jo:hwe:lv̀:ga,ᏗᏦᏪᎸᎦ
,dì:jà:tv:dà:sda,ᏗᏣᏛᏓᏍᏓ
,dì:ni:tade:gv̀,ᏗᏂᏔᏕᎬ
,dì:ni:tade:gv̀:ga,ᏗᏂᏔᏕᎬᎦ
,dì:nihnó:gi.,ᏗᏂᏃᎩ.
*,dì:tstade:gv̀,ᏗtᏍᏔᏕᎬ
*,dì:tstade:gv̀:ga,ᏗtᏍᏔᏕᎬᎦ
*,dì:tstadě:gô:di,ᏗtᏍᏔᏕᎪᏗ
*,dìgigowhtv́hdi,ᏗᎩᎪwᏛᏗ
,dìgikóhdi,ᏗᎩᎪᏗ
,dìgisdǐ:gî:sdi,ᏗᎩᏍᏗᎩᏍᏗ
,dìgwa:di:tasdi,ᏗᏆᏗᏔᏍᏗ
,dìgwa:liʔi,ᏗᏆᎵᎢ
,dìgwaje:li̋,ᏗᏆᏤᎵ
,dìgwaje:li̋:ʔi,ᏗᏆᏤᎵᎢ
,dìgwatǔ:gî:sdi,ᏗᏆᏚᎩᏍᏗ
,dìgwo:hlísdi,ᏗᏉᏟᏍᏗ
,dìgìhlǐ:sóhdi,ᏗᎩᏟᏐᏗ
,dína:dǐ:ta,ᏗᎾᏗᏔ
*,dínaktǒ:sda,ᏗᎾkᏙᏍᏓ
,dínatǔ:gi,ᏗᎾᏚᎩ
,díni:gò:wahta,ᏗᏂᎪᏩᏔ
,díni:hyaga,ᏗᏂᏯᎦ
,díni:sdǐ,ᏗᏂᏍᏗ
,díni:sdǐ:ga,ᏗᏂᏍᏗᎦ
,dínohlgi,ᏗᏃꮅᎩ
,dínì:hlǐ:sa,ᏗᏂᏟᏌ
,dò dě:jádo?,Ꮩ ᏕᏣᏙ?
,dò gadv:ne?,Ꮩ ᎦᏛᏁ?
,dò hadv:ne?,Ꮩ ᎭᏛᏁ?
,dò à:dv́:ne?,Ꮩ ᎠᏛᏁ?
,dò à:nadv́:ne?,Ꮩ ᎠᎾᏛᏁ?
,dò:dalv̋ ju:gǎ:nawa.,ᏙᏓᎸ ᏧᎦᎾᏩ.
,dò:dalv̋ jù:hyv:dla.,ᏙᏓᎸ ᏧᏴᏜ.
,dò:dalv̋:ʔi ju:gǎ:nawa.,ᏙᏓᎸᎢ ᏧᎦᎾᏩ.
,dò:dalv̋:ʔi jù:hyv:dla.,ᏙᏓᎸᎢ ᏧᏴᏜ.
,dò:gada:dohljv̌,ᏙᎦᏓᏙꮅᏨ
,dò:gada:dohljv̌:ʔi,ᏙᎦᏓᏙꮅᏨᎢ
,dò:gada:go:hv̌,ᏙᎦᏓᎪᎲ
,dò:gada:go:hv̌:ʔi,ᏙᎦᏓᎪᎲᎢ
,dò:gadadu:lv:hv̌,ᏙᎦᏓᏚᎸᎲ
,dò:gadadu:lv:hv̌:ʔi,ᏙᎦᏓᏚᎸᎲᎢ
,dò:gadadu:líha,ᏙᎦᏓᏚᎵᎭ
*,"dò:gadó má:gaye:t, mé:l, ale gwa:gwa","ᏙᎦᏙ ᎹᎦᏰt, Ꮊꮅ, ᎠᎴ ᏆᏆ"
,dò:gadǔ:lā,ᏙᎦᏚᎳ
*,dò:ganhta,ᏙᎦnᏔ
,dò:gi hadí?,ᏙᎩ ᎭᏗ?
,dò:gi:go:hv̌,ᏙᎩᎪᎲ
,dò:gi:go:hv̌:ʔi,ᏙᎩᎪᎲᎢ
,dò:gi:ha,ᏙᎩᎭ
,dò:gi:hv̌,ᏙᎩᎲ
,dò:gi:hv̌:ʔi,ᏙᎩᎲᎢ
,dò:gi:hyá:ʔv̌,ᏙᎩᏯᎥ
,dò:gi:hyá:ʔv̌:ʔi,ᏙᎩᏯᎥᎢ
,dò:gi:hé:sdi,ᏙᎩᎮᏍᏗ
,dò:gi:hó,ᏙᎩᎰ
,dò:gi:hó:ʔi,ᏙᎩᎰᎢ
,dò:gi:káha,ᏙᎩᎧᎭ
*,dò:gi:nadó lí:nid ale ma:gá:l,ᏙᎩᎾᏙ ᎵᏂd ᎠᎴ ᎹᎦꮅ
,dò:gi:ne:hv̌,ᏙᎩᏁᎲ
,dò:gi:ne:hv̌:ʔi,ᏙᎩᏁᎲᎢ
,dò:gi:ne:hó,ᏙᎩᏁᎰ
,dò:gi:ne:hó:ʔi,ᏙᎩᏁᎰᎢ
,dò:gi:náó,ᏙᎩᎾᎣ
,dò:gi:náó:ʔi,ᏙᎩᎾᎣᎢ
,dò:gi:náʔa,ᏙᎩᎾᎠ
,dò:gi:néha,ᏙᎩᏁᎭ
,dò:gi:tade:gí,ᏙᎩᏔᏕᎩ
,dò:gi:tade:gí:ʔa,ᏙᎩᏔᏕᎩᎠ
,dò:gi:yò:sǐ:sā,ᏙᎩᏲᏏᏌ
,dò:gi:yó:siha,ᏙᎩᏲᏏᎭ
,dò:ginada:dohljv̌,ᏙᎩᎾᏓᏙꮅᏨ
,dò:ginada:dohljv̌:ʔi,ᏙᎩᎾᏓᏙꮅᏨᎢ
,dò:ginada:go:hv̌,ᏙᎩᎾᏓᎪᎲ
,dò:ginada:go:hv̌:ʔi,ᏙᎩᎾᏓᎪᎲᎢ
,dò:ginadadu:lv:hv̌,ᏙᎩᎾᏓᏚᎸᎲ
,dò:ginadadu:lv:hv̌:ʔi,ᏙᎩᎾᏓᏚᎸᎲᎢ
,dò:ginadadu:líha,ᏙᎩᎾᏓᏚᎵᎭ
,dò:gini,ᏙᎩᏂ
,dò:gini:go:hv̌,ᏙᎩᏂᎪᎲ
,dò:gini:go:hv̌:ʔi,ᏙᎩᏂᎪᎲᎢ
,dò:gini:ha,ᏙᎩᏂᎭ
,dò:gini:hv̌,ᏙᎩᏂᎲ
,dò:gini:hv̌:ʔi,ᏙᎩᏂᎲᎢ
,dò:gini:hyá:ʔv̌,ᏙᎩᏂᏯᎥ
,dò:gini:hyá:ʔv̌:ʔi,ᏙᎩᏂᏯᎥᎢ
,dò:gini:hé:sdi,ᏙᎩᏂᎮᏍᏗ
,dò:gini:hó,ᏙᎩᏂᎰ
,dò:gini:hó:ʔi,ᏙᎩᏂᎰᎢ
,dò:gini:káha,ᏙᎩᏂᎧᎭ
,dò:gini:ne:hv̌,ᏙᎩᏂᏁᎲ
,dò:gini:ne:hv̌:ʔi,ᏙᎩᏂᏁᎲᎢ
,dò:gini:ne:hó,ᏙᎩᏂᏁᎰ
,dò:gini:ne:hó:ʔi,ᏙᎩᏂᏁᎰᎢ
,dò:gini:náó,ᏙᎩᏂᎾᎣ
,dò:gini:náó:ʔi,ᏙᎩᏂᎾᎣᎢ
,dò:gini:náʔa,ᏙᎩᏂᎾᎠ
,dò:gini:tade:gâ:nv̌,ᏙᎩᏂᏔᏕᎦᏅ
,dò:gini:tade:gâ:nv̌:ʔi,ᏙᎩᏂᏔᏕᎦᏅᎢ
,dò:gini:tade:gí,ᏙᎩᏂᏔᏕᎩ
,dò:gini:tade:gí:ʔa,ᏙᎩᏂᏔᏕᎩᎠ
,dò:gini:yò:sǐ:sā,ᏙᎩᏂᏲᏏᏌ
,dò:gini:yó:siha,ᏙᎩᏂᏲᏏᎭ
,dò:ginohljv̌,ᏙᎩᏃꮅᏨ
,dò:ginohljv̌:ʔi,ᏙᎩᏃꮅᏨᎢ
,dò:ginv̌:yê:sdi,ᏙᎩᏅᏰᏍᏗ
*,dò:ginà:ktǒ:stánv̌,ᏙᎩᎾkᏙᏍᏔᏅ
*,dò:ginà:ktǒ:stánv̌:ʔi,ᏙᎩᎾkᏙᏍᏔᏅᎢ
,dò:ginàtǔ:gî:sv̌,ᏙᎩᎾᏚᎩᏒ
,dò:ginàtǔ:gî:sv̌:ʔi,ᏙᎩᎾᏚᎩᏒᎢ
,dò:ginì:sdí:gv̌,ᏙᎩᏂᏍᏗᎬ
,dò:ginì:sdí:gv̌:ʔi,ᏙᎩᏂᏍᏗᎬᎢ
,dò:ginù:di:tahv̌,ᏙᎩᏄᏗᏔᎲ
,dò:ginù:di:tahv̌:ʔi,ᏙᎩᏄᏗᏔᎲᎢ
,"dò:ginī""v",ᏙᎩᏂᎥ
,dò:gohljv̌,ᏙᎪꮅᏨ
,dò:gohljv̌:ʔi,ᏙᎪꮅᏨᎢ
,dò:gv̌:yê:sdi,ᏙᎬᏰᏍᏗ
,dò:gv̌:yó,ᏙᎬᏲ
,dò:gv̌:yóʔi,ᏙᎬᏲᎢ
*,dò:gà:ktǒ:stánv̌,ᏙᎦkᏙᏍᏔᏅ
*,dò:gà:ktǒ:stánv̌:ʔi,ᏙᎦkᏙᏍᏔᏅᎢ
,dò:gàtǔ:gî:sv̌,ᏙᎦᏚᎩᏒ
,dò:gàtǔ:gî:sv̌:ʔi,ᏙᎦᏚᎩᏒᎢ
,dò:gì:sdí:gv̌,ᏙᎩᏍᏗᎬ
,dò:gì:sdí:gv̌:ʔi,ᏙᎩᏍᏗᎬᎢ
,dò:gí:du:hnv̌,ᏙᎩᏚᏅ
,dò:gí:du:hnv̌:ʔi,ᏙᎩᏚᏅᎢ
,dò:gù:di:tahv̌,ᏙᎫᏗᏔᎲ
,dò:gù:di:tahv̌:ʔi,ᏙᎫᏗᏔᎲᎢ
,"dò:gī""v",ᏙᎩᎥ
,dò:hv̋?,ᏙᎲ?
,dò:ja:dǐ:tā,ᏙᏣᏗᏔ
,dò:jada:dohlga,ᏙᏣᏓᏙꮅᎦ
,dò:jada:dohlgó,ᏙᏣᏓᏙꮅᎪ
,dò:jada:dohlgó:ʔi,ᏙᏣᏓᏙꮅᎪᎢ
*,dò:jada:gowhtíha,ᏙᏣᏓᎪwᏘᎭ
*,dò:jada:gowhtǐ:sgó,ᏙᏣᏓᎪwᏘᏍᎪ
*,dò:jada:gowhtǐ:sgóʔi,ᏙᏣᏓᎪwᏘᏍᎪᎢ
*,dò:jadaktǒ:sdā,ᏙᏣᏓkᏙᏍᏓ
*,dò:jadà:ktǒ:sdí:sgó,ᏙᏣᏓkᏙᏍᏗᏍᎪ
*,dò:jadà:ktǒ:sdí:sgó:ʔi,ᏙᏣᏓkᏙᏍᏗᏍᎪᎢ
,dò:jatǔ:gā,ᏙᏣᏚᎦ
*,dò:ji:gowhtíha,ᏙᏥᎪwᏘᎭ
,dò:ji:gò:wahtā,ᏙᏥᎪᏩᏔ
,dò:ji:hyé,ᏙᏥᏰ
,dò:ji:hyé:ʔa,ᏙᏥᏰᎠ
,dò:ji:sdǐ:gā,ᏙᏥᏍᏗᎦ
,dò:ji:tade:gv̀:gā,ᏙᏥᏔᏕᎬᎦ
,dò:johlga,ᏙᏦꮅᎦ
,dò:johlgó,ᏙᏦꮅᎪ
,dò:johlgó:ʔi,ᏙᏦꮅᎪᎢ
,dò:jàtǔ:gía,ᏙᏣᏚᎩᎠ
,dò:jì:hlǐ:sā,ᏙᏥᏟᏌ
,dò:jì:sdǐ:gíʔa,ᏙᏥᏍᏗᎩᎠ
,dò:sda:dǐ:tā,ᏙᏍᏓᏗᏔ
,dò:sdada:dohlga,ᏙᏍᏓᏓᏙꮅᎦ
,dò:sdada:dohlgó,ᏙᏍᏓᏓᏙꮅᎪ
,dò:sdada:dohlgó:ʔi,ᏙᏍᏓᏓᏙꮅᎪᎢ
*,dò:sdada:gowhtíha,ᏙᏍᏓᏓᎪwᏘᎭ
*,dò:sdada:gowhtǐ:sgó,ᏙᏍᏓᏓᎪwᏘᏍᎪ
*,dò:sdada:gowhtǐ:sgóʔi,ᏙᏍᏓᏓᎪwᏘᏍᎪᎢ
*,dò:sdadaktǒ:sdā,ᏙᏍᏓᏓkᏙᏍᏓ
*,dò:sdadà:ktǒ:sdí:sgó,ᏙᏍᏓᏓkᏙᏍᏗᏍᎪ
*,dò:sdadà:ktǒ:sdí:sgó:ʔi,ᏙᏍᏓᏓkᏙᏍᏗᏍᎪᎢ
,dò:sdatǔ:gā,ᏙᏍᏓᏚᎦ
*,dò:sdi:gowhtíha,ᏙᏍᏗᎪwᏘᎭ
,dò:sdi:gò:wahtā,ᏙᏍᏗᎪᏩᏔ
,dò:sdi:hyagā,ᏙᏍᏗᏯᎦ
,dò:sdi:hyé,ᏙᏍᏗᏰ
,dò:sdi:hyé:ʔa,ᏙᏍᏗᏰᎠ
,dò:sdi:sdǐ:gā,ᏙᏍᏗᏍᏗᎦ
,dò:sdi:tade:gv̀:gā,ᏙᏍᏗᏔᏕᎬᎦ
,dò:sdohlga,ᏙᏍᏙꮅᎦ
,dò:sdohlgó,ᏙᏍᏙꮅᎪ
,dò:sdohlgó:ʔi,ᏙᏍᏙꮅᎪᎢ
,dò:sdohlgā,ᏙᏍᏙꮅᎦ
,dò:sdà:tǔ:gî:sgó,ᏙᏍᏓᏚᎩᏍᎪ
,dò:sdà:tǔ:gî:sgó:ʔi,ᏙᏍᏓᏚᎩᏍᎪᎢ
,dò:sdàtǔ:gía,ᏙᏍᏓᏚᎩᎠ
,dò:sdì:hlǐ:sā,ᏙᏍᏗᏟᏌ
,dò:sdì:sdǐ:gíʔa,ᏙᏍᏗᏍᏗᎩᎠ
,dò:sdì:sdǐ:gî:sgó,ᏙᏍᏗᏍᏗᎩᏍᎪ
,dò:sdì:sdǐ:gî:sgó:ʔi,ᏙᏍᏗᏍᏗᎩᏍᎪᎢ
,dò?,Ꮩ?
,dògí?,ᏙᎩ?
,dù:danv:hnv̋ digaloʔgwasdohdi.,ᏚᏓᏅᏅ ᏗᎦᎶᏆᏍᏙᏗ.
,dù:danv:hnv̋:ʔi digaloʔgwasdohdi.,ᏚᏓᏅᏅᎢ ᏗᎦᎶᏆᏍᏙᏗ.
,dù:nada:dohljv̌,ᏚᎾᏓᏙꮅᏨ
,dù:nada:dohljv̌:ʔi,ᏚᎾᏓᏙꮅᏨᎢ
,dù:nada:go:hv̌,ᏚᎾᏓᎪᎲ
,dù:nada:go:hv̌:ʔi,ᏚᎾᏓᎪᎲᎢ
,dù:nadadu:lv:hv̌,ᏚᎾᏓᏚᎸᎲ
,dù:nadadu:lv:hv̌:ʔi,ᏚᎾᏓᏚᎸᎲᎢ
,dù:nadadu:líha,ᏚᎾᏓᏚᎵᎭ
,"dù:nadó salǒ:li, sǒ:gwíli, ale yǒ:na","ᏚᎾᏙ ᏌᎶᎵ, ᏐᏈᎵ, ᎠᎴ ᏲᎾ"
*,dù:nanhté:sdi,ᏚᎾnᏖᏍᏗ
,dù:ni:go:hv̌,ᏚᏂᎪᎲ
,dù:ni:go:hv̌:ʔi,ᏚᏂᎪᎲᎢ
,dù:ni:ha,ᏚᏂᎭ
,dù:ni:hv̌,ᏚᏂᎲ
