ID|PSET|ALT_PRONOUNCE|PRONOUN|VERB|GENDER|SYLLABARY|PRONOUNCE|ENGLISH|INTRO NOTE|END NOTE|APP_FILE
161|||Ꭼ²Ꭹ̣²-, Ꭼ²Ꮖ͓-|Ꭰ̣²Ꮪ²³Ꮃ²||ᎬᏆᏚᎳ|gv:gwadǔ:lā|They recently wanted me|||gvv2gwa2duu23la2
162|||Ꭴ¹Ꮒ²-|Ꭽ||ᎤᏂᎭ|ù:ni:ha|They have something|||uu1nii2ha
163||dò:sdi:hyé|Ꮩ¹ᏍᏗ²-|ɂᏰ³Ꭰ||ᏙᏍᏗᏰᎠ|dò:sdi:hyé:ɂa|He and I are eating flexible things|||doo1sdii2hyee3-a
164|||Ꮧ̣¹Ꭹ̣²-, Ꮧ̣¹Ꮖ͓-|ɂᎪ³Ꮧ||ᏗᎩᎪᏗ|dìgikóhdi|For me to have living things|||di1gi2koh3di
165|||Ꮧ̣²Ꮣ̣²Ꮣ²[Ꮣ͓]-|Ꭺ¹Ꮹ²Ꮤ||ᏗᏓᏓᎪᏩᏔ|didada:gò:wahta|Let all of us see each other|||di2da2daa2goo1wah2ta
166||è:jo:lì|Ꭱ¹Ꮵ²-|Ꭳ²Ꮅ¹Ꭶ*||ᎡᏦᎵᎦ|è:jo:lì:ga|You all recognize him; You all are being recognized|||ee1joo2lii1ga
167||ì:gada:go:hv̌|Ꭲ¹Ꭶ̣²Ꮣ²[Ꮣ͓]-|Ꭺ²Ꮂ²³Ꭲ||ᎢᎦᏓᎪᎲᎢ|ì:gada:go:hv̌:ɂi|All of us saw ourselves a while ago|||ii1ga2daa2goo2hvv23-i
168|||Ꭳ¹Ꮳ̣²Ꮣ²[Ꮣ͓]-|Ꭺ¹Ꮹ²Ꮤ²||ᎣᏣᏓᎪᏩᏔ|ò:jada:gò:wahtā|They and I recently saw ourselves|||oo1ja2daa2goo1wah2ta2
169|||Ꮶ¹Ꭹ̣²Ꮎ̣²Ꮣ²[Ꮣ͓]-|Ꭳ²Ꮅ³ᏍᏗ||ᏦᎩᎾᏓᏙᎵᏍᏗ|jò:ginada:do:hlísdi|For him and me to be acquainted|||joo1gi2na2daa2doo2hli3sdi
170|||Ꮧ̣²-, Ꮧ̣²Ꭶ̣²-|Ꭰ̣²Ꮪ²³Ꭹ||ᏫᏓᏚᎩ|widatǔ:gi|Let him drink alcoholic drinks|||wi2da2tuu23gi
171|||Ꭸ²Ꭹ̣²Ꮒ²-|Ꭰ̣²Ꮪ²³Ꮃ²||ᎨᎩᎾᏚᎳ|ge:ginadǔ:lā|They recently wanted you and me|||gee2gi2na2duu23la2
172|||Ꮥ³Ꭹ²-|Ꭽ||ᏕᎩᎭ|dé:gi:ha|All of us have things|||dee3gii2ha
173|||Ꮧ̣²Ꮳ̣²Ꮣ²[Ꮣ͓]-|Ꭺ¹Ꮹ²Ꮤ||ᏗᏣᏓᎪᏩᏔ|dijada:gò:wahta|Let you all see each other|||di2ja2daa2goo1wah2ta
174||ì:jada:go:hv̌|Ꭲ¹Ꮳ̣²Ꮣ²[Ꮣ͓]-|Ꭺ²Ꮂ²³Ꭲ||ᎢᏣᏓᎪᎲᎢ|ì:jada:go:hv̌:ɂi|You all saw yourselves a while ago|||ii1ja2daa2goo2hvv23-i
175|||Ꭺ²Ꭹ̣²Ꮒ²-|Ꭰ̣²Ꮪ²³Ꮃ²||ᎪᎩᎾᏚᎳ|go:ginadǔ:lā|They recently wanted him and me|||goo2gi2na2duu23la2
176|||Ꮥ³Ꮵ²-|Ꭽ||ᏕᏥᎭ|dé:ji:ha|You all have things|||dee3jii2ha
177|||Ꮧ̣²ᏍᏓ̣²Ꮣ²[Ꮣ͓]-|Ꭺ¹Ꮹ²Ꮤ||ᏗᏍᏓᏓᎪᏩᏔ|disdada:gò:wahta|Let you both see each other|||di2sdaa2daa2goo1wah2ta
178||ge:no:lì|Ꭸ²Ꮒ²-|Ꭳ²Ꮅ¹Ꭶ*||ᎨᏃᎵᎦ|ge:no:lì:ga|You and I recognize them (animate)|||gee2noo2lii1ga
179||ò:gada:go:hv̌|Ꭳ¹Ꭶ̣²Ꮣ²[Ꮣ͓]-|Ꭺ²Ꮂ²³Ꭲ||ᎣᎦᏓᎪᎲᎢ|ò:gada:go:hv̌:ɂi|They and I saw ourselves a while ago|||oo1ga2daa2goo2hvv23-i
180|||Ꮩ¹Ꭹ²-|Ꭽ||ᏙᎩᎭ|dò:gi:ha|They and I have things|||doo1gii2ha
181|||Ꭲ¹Ꮵ²-|Ꭱ³Ꭶ||ᎢᏤᎦ|ì:jé:ga|You all are going|||ii1jee3ga
182|||Ꮶ¹Ꮳ̣²Ꮣ²[Ꮣ͓]-|Ꭺ¹Ꮹ²Ꮤ||ᏫᏦᏣᏓᎪᏩᏔ|wijò:jada:gò:wahta|Let them and me see each other|||wi2joo1ja2daa2goo1wah2ta
183||ge:do:lì|Ꭸ²Ꮧ²-|Ꭳ²Ꮅ¹Ꭶ*||ᎨᏙᎵᎦ|ge:do:lì:ga|All of us recognize them (animate)|||gee2doo2lii1ga
184||ù:nada:go:hv̌|Ꭴ¹Ꮎ̣²Ꮣ²[Ꮣ͓]-|Ꭺ²Ꮂ²³Ꭲ||ᎤᎾᏓᎪᎲᎢ|ù:nada:go:hv̌:ɂi|They saw themselves a while ago|||uu1na2daa2goo2hvv23-i
