,SYLLABARY,PRONUNCIATION,POS,DEFINITIONS,HFRANCIS LIST VERIFIED,TLW Notes
,ᎤᎧᎲᏍᏗ,u:kahvsdi,,,,
,,,,,,
ENTRY,ᎠᎧᎲᎠ,akahvʔa,vt,"He is pushing it (something alive) aside.;
He is clearing it (something alive) away.",x,"New entry for ""push, clear away"" 
I recommend at least 2 entries.  "
,ᏥᎧᎥᎠ,ji:kaʔvʔa,,,Francis Doc shows plurals + non-plurals.,
,ᎤᎧᎲᏒᎢ,u:kahv:sv̌ʔi,,,Francis shows three non-merged entries for this one.,
,ᎠᎧᎲᏍᎪᎢ,akahv:sgóʔi,,,,
,ᎯᎧᎲᎾ,hi:kahv:na,,,,
,ᎤᎧᎲᏍᏗ,u:kahv:sdi,,,,
,,,,,,
ENTRY,ᎠᎧᎲᎠ,a:kahvʔa,vt,He is moving it (something alive).,,
,ᏥᏯᎧᎥᎠ,ji:ya:kaʔvʔa,,,,
,ᎤᎧᎲᏒᎢ,u:kahvsv̌ʔi,,,,
,ᎠᎧᎲᏍᎪᎢ,a:kahvsgóʔi,,,,
,ᎯᏯᎧᎥᎾ,hi:ya:kaʔvna,,,,
,ᎤᎧᎲᏍᏗ,u:kahvsdi,,,,
,,,,,,
ENTRY,ᎠᎧᎵᎢᎭ,akaliʔiha,vt,He is filling it.,,
,ᏥᎧᎵᎢᎭ,jikaliʔiha,,,,
,ᎤᎧᎵᎸᎢ,u:kaliʔlv̌ʔi,,,,
,ᎠᎧᎵᎢᎰᎢ,akaliʔihóʔi,,,,
,ᎯᎧᎵᏣ,hikali:ja,,,,
,ᎤᎧᎵᎢᏍᏗ,u:kaliʔisdi,,,,
note,"ᏂᎦᎥᏰᏃ ᏗᎧᎿᏩᏛᏍᏗ ᏚᎵᏁᏨ ᏌᏉᏉ ᎢᎧᏁᏨᎯ <u>ᎠᎧᎵᎢᎭ</u>, ᎯᎠᏉ ᎾᏍᎩ, ᎾᎥ ᎢᏗᏍᏓᏓᎳ ᎯᎨᏳᏎᏍᏗ ᎾᏍᎩᏯ ᏨᏒ ᏂᏣᏓᎨᏳᏒᎢ.
for all the law in one word is <u>fulfilled</u> — in this: ‘Thou shalt love thy neighbour as thyself;’
[ᎨᎴᏏᏱ 5:14]",,,,,
,,,,,,
ENTRY,ᎠᎧᏁᎭ,aka:ne:ha,vt,He is giving it (something alive) to him.,,
,ᏥᎧᏁᎠ,ji:ka:neʔa,,,,
,ᎤᎧᏁᎸᎢ,u:ka:nelv̌ʔi,,,,
,ᎠᎧᏁᎰᎢ,aka:ne:hóʔi,,,,
,ᎯᎧᎥᏍᏗ,hi:kaʔv:sdi,,,,
,ᎤᎧᏁᏗ,u:ka:nhdi,,,,
,,,,,,
ENTRY,ᎠᎧᏁᎵ,aka:ne:li,vt,He is taking it (something alive) to him.,,
,ᏥᎧᏁᎵ,ji:ka:ne:li,,,,
,ᎤᎧᏁᎸᎢ,u:ka:neʔlv̌ʔi,,,,
,ᎠᎧᏁᎵᏐᎢ,aka:ne:li:sóʔi,,,,
,ᎯᎧᏁᎷᎦ,hi:ka:ne:lu:ga,,,,
,ᎤᎧᏁᎵᏗ,u:ka:ne:hldi,,,,
,,,,,,
ENTRY,ᎠᎧᏂ,akani,vt,He is returning an animal.,,
,ᏥᎦᏂ,jigaʔni,,,,
,ᎤᎧᏁᏒᎢ,u:kanesv̌ʔi,,,,
,ᎠᎧᏂᏐᎢ,akani:sóʔi,,,,
,ᎯᎧᏄᎦ,hikanu:ga,,,,
,ᎤᎧᏅᏍᏗ,u:kanvsdi,,,,
,,,,,,
ENTRY,ᎠᎧᏅᎢ,aka:nvʔi,n,His eye.,,
,ᏓᎧᏅᎢ,daka:nvʔi,,,,
,ᏥᎧᏅᎢ,jika:nvʔi,,,,
,ᏕᏥᎧᏅᎢ,de:jika:nvʔi,,,,
note,"ᎥᎵᏃ, ᏧᏓ ᎢᎬᏱ ᎡᎯ ᎤᏪᏥ ᎠᏍᎦᎾᎯᏳ ᎨᏎ ᏱᎰᏩ <u>ᏓᎧᏅᎢ</u>; ᏱᎰᏩᏃ ᎤᎴᎢ.
and Er, Judah's first-born, is evil in the <u>eyes</u> of Jehovah, and Jehovah doth put him to death.
[ᎼᏏ ᎢᎬᏱᏱ 38:7]",,,,,
,,,,,,
ENTRY,ᎠᎧᏍᎨᏂ,aka:sge:ni,n,His hip.,,
,ᏗᎧᏍᎨᏂ,dika:sge:ni,,,,
,ᏥᎧᏍᎨᏂ,jika:sge:ni,,,,
,ᏗᏥᎧᏍᎨᏂ,dijika:sge:ni,,,,
,,,,,,
ENTRY,ᎠᎧᏎᏍᏗᎭ,a:kásesdiha,vt,He is watching it.,,
,ᎦᎧᏎᏍᏗᎭ,ga:kásesdiha,,,,
,ᎤᎧᏎᏍᏓᏅᎢ,u:kásesdaʔnv̌ʔi,,,,
,ᎠᎧᏎᏍᏗᏍᎪᎢ,a:kásesdisgóʔi,,,,
,ᎭᎧᏎᏍᏓ,ha:kásesda,,,,
,ᎤᎧᏎᏍᏙᏗ,u:kásesdo:hdi,,,,
,,,,,,
ENTRY,ᎠᎧᏘᎭ,a:kátiha,vi,He is peeking.,,
,ᎦᎧᏗᎭ,ga:kádiha,,,,
,ᎤᎧᏔᏅᎢ,u:káta:nv̌ʔi,,,,
,ᎠᎧᏘᏍᎪᎢ,a:kátisgóʔi,,,,
,ᎭᎧᏔ,ha:káta,,,,
,ᎤᎧᏙᏗ,u:káto:hdi,,,,
,,,,,,
ENTRY,ᎠᎧᏲᏍᎦ,ahka:hyo:sga,vi,He is drying out.,x,
,ᏥᎧᏲᏍᎦ,jihka:hyo:sga,,,,
,ᎤᎧᏲᏒᎢ,u:hka:hyo:sv̌ʔi,,,,
,ᎠᎧᏲᏍᎪᎢ,ahka:hyo:sgóʔi,,,,
,ᎯᎧᏲᎯ,hihka:hyo:hi,,,,
,ᎤᎧᏲᎯᏍᏗ,u:hka:hyo:hisdi,,,,
,,,,,,
ENTRY,ᎠᎧᏲᏗᎭ,aka:hyǒhdiha,vt,"He is drying it out.;
He is preserving it.",,
,ᏥᎧᏲᏗᎭ,jika:hyǒhdiha,,,,
,ᎤᎧᏲᏔᏅᎢ,u:ka:hyǒhtanv̌ʔi,,,,
,ᎠᎧᏲᏗᏍᎪᎢ,aka:hyǒhdisgóʔi,,,,
,ᎯᎧᏲᏓ,hika:hyǒhda,,,,
,ᎤᎧᏲᏙᏗ,u:ka:hyǒhdo:hdi,,,,
note,"… ᏃᏊᎴ ᎤᎦᎵᏍᎬ <u>ᎠᎧᏲᏗᏍᎪᎢ</u> ᎠᎹ.
… and then when it is shined on by the sun the water <u>is dried by</u> the sun.
[ᏣᎳᎩ ᏔᎵᏁ ᏗᏂᏂᏙᎯ ᏗᏕᏲᏙᏗ]",,,,,
,,,,,,
ENTRY,ᎠᎨᎯ,akehi,vt,He is chasing him/it.,,
,ᏥᎨᎯ,jiʔkehi,,,,
,ᎤᎨᎮᏒᎢ,u:kehesv̌ʔi,,,,
,ᎠᎨᏐᎢ,ake:hʔsóʔi,,,,
,ᎯᎨᎱᎦ,hi:kehu:ga,,,,
,ᎤᎨᎲᏍᏗ,u:kehvsdi,,,,
note,"<u>ᎠᏂᎨᎯ</u> ᎠᏧᏣ ᎩᎵ.
The dogs <u>are chasing</u> the boy.
[King pg 110]",,,,,
,,,,,,
ENTRY,ᎠᎨᏯ,ageʔya,vi,He is flowing.,,
,ᏥᎨᏯ,jigeʔya,,,,
,ᎤᎨᏴᏒᎢ,u:geʔyv:sv̌ʔi,,,,
,ᎠᎨᏲᎢ,ageʔyóʔi,,,,
,ᎯᎨᏯ,higeʔya,,,,
,ᎤᎨᏴᏍᏗ,u:geʔyv:sdi,,,,
,,,,,,
ENTRY,ᎠᎨᏯ,age:hya,n,Woman.,,
,ᏥᎨᏯ,jige:hya,,,,
note,"ᏍᎩᏉᏃ <u>ᎠᎨᏯ</u> ᎠᏥᎯᎮᎢ.
Actually, <u>a woman</u> was being killed.
[King pg 121]",,,,,
,,,,,,
ENTRY,ᎠᎨᏯᏗᎭ,age:hydiha,vt,He is refusing to give him.,,
,ᏥᎨᏯᏗᎭ,*ji:geʔydiha,,,,
,ᎤᎨᏯᏔᏅᎢ,u:ge:hytanv̌ʔi,,,,
,ᎠᎨᏯᏗᏍᎪᎢ,age:hydisgóʔi,,,,
,ᎯᎨᏯᏓ,hi:ge:hyda,,,,
,ᎤᎨᏯᏙᏗ,u:ge:hydo:hdi,,,,
,,,,,,
ENTRY,ᎠᎩᎠ,agíʔa,vt,"He is getting it (something solid).;
He is picking it up (something solid).",x,
,ᏥᎩᎠ,jigíʔa,,,,
,ᎤᎩᏒᎢ,u:gí:sv̌ʔi,,,,
,ᎠᎩᏍᎪᎢ,agí:sgóʔi,,,,
,ᎯᎩ,higi,,,,
,ᎤᎩᏍᏗ,u:gí:sdi,,,,
