entrytone|nounadjpluraltone|vfirstprestone|vthirdpasttone|vthirdprestone|vsecondimpertone|vthirdinftone|syllabaryb|nounadjpluralsyllf|vfirstpresh|vthirdpastsyllj|vthirdpressylll|vsecondimpersylln|vthirdinfsyllp|definitiond|id|source
gá:kohdi|digá:kohdi||||||ᎦᎪᏗ|ᏗᎦᎪᏗ||||||n. plant (potted plants, young trees, young garden plants)|73049|ced
gayv:sgwale:nv|||||||ᎦᎬᏍᏆᎴᏅ|||||||Rose-breasted grosbeak.; biol. <em>Pheucticus ludovicianus.</em>|100929|rrd
gaha:di|||||||ᎦᎭᏗ|||||||Wedge|100692|rrd
ga:hatdi|diga:hatdi||||||ᎦᎭᏘᏗ|ᏗᎦᎭᏘᏗ||||||wedge|73018|ced
ga:hé:galiha||tsiɂé:galiha|u:hé:galvhv̌:ɂi|ga:hé:galisgó:ɂi|hihé:gala|u:hé:ga:hldi|ᎦᎮᎦᎵᎭ||ᏥᎡᎦᎵᎭ|ᎤᎮᎦᎸᎲᎢ|ᎦᎮᎦᎵᏍᎪᎢ|ᎯᎮᎦᎳ|ᎤᎮᎦᎵᏗ|He is skinning it|100693|rrd
ga:hehv:sga||tsiɂehv:sga|u:heɂhnv̌:ɂi|ga:hehv:sgó:ɂi|hihehv:ga|u:heɂhdi|ᎦᎮᎲᏍᎦ||ᏥᎡᎲᏍᎦ|ᎤᎮᏅᎢ|ᎦᎮᎲᏍᎪᎢ|ᎯᎮᎲᎦ|ᎤᎮᏗ|He is laying down it (a liquid)|100694|rrd
gahusdī, gohusdi|||||||ᎦᎱᏍᏗ, ᎪᎱᏍᏗ|||||||Something.; Anything|100695|rrd
gala|||u:le:sdv̌:ɂi|galó:ɂi|wigale:sdi|u:le:sdi|ᎦᎳ|||ᎤᎴᏍᏛᎢ|ᎦᎶᎢ|ᏫᎦᎴᏍᏗ|ᎤᎴᏍᏗ|It (something long) is in a container|100696|rrd
ga:hla:a|||u:hlae:sdv̌:ɂi|ga:hla:ó:ɂi|wiga:hlv:ɂga|u:hlai:hdi|ᎦᎳᎠ|||ᎤᎳᎡᏍᏛᎢ|ᎦᎳᎣᎢ|ᏫᎦᎸᎦ|ᎤᎳᎢᏗ|It (a solid) is in a container|100698|rrd
galaɂa|||u:laɂe:sdv̌:ɂi|galaɂó:ɂi|wigalaɂe:sdi|u:laɂe:sdi|ᎦᎳᎠ|||ᎤᎳᎡᏍᏛᎢ|ᎦᎳᎣᎢ|ᏫᎦᎳᎡᏍᏗ|ᎤᎳᎡᏍᏗ|It (something flexible) is in a container|100697|rrd
galagéhydv:ɂv:sga||tsilageɂydv:ɂv:sga|u:lagéhydv:ɂnv̌:ɂi|galagéhydv:ɂv:sgó:ɂi|hilagéhydv:ɂv:ga|u:lagéhydv:ɂdi|ᎦᎳᎨᏴᏛᎥᏍᎦ||ᏥᎳᎨᏴᏛᎥᏍᎦ|ᎤᎳᎨᏴᏛᏅᎢ|ᎦᎳᎨᏴᏛᎥᏍᎪᎢ|ᎯᎳᎨᏴᏛᎥᎦ|ᎤᎳᎨᏴᏛᏗ|He is scattering.; He is broadcasting (seed or similar in concept)|100699|rrd
galagi:ɂa||tsilagi:ɂa|u:lagi:sv̌:ɂi|galagi:sgó:ɂi|hilagi|u:lagi:sdi|ᎦᎳᎩᎠ||ᏥᎳᎩᎠ|ᎤᎳᎩᏒᎢ|ᎦᎳᎩᏍᎪᎢ|ᎯᎳᎩ|ᎤᎳᎩᏍᏗ|He is removing it (something long) or it (a liquid) or it (a solid) from a container|100700|rrd
galagi:na|||||||ᎦᎳᎩᎾ|||||||Stag.; Buck.; Gobbler|100701|rrd
gala:go:ho:sga|||u:la:go:ho:sv̌:ɂi|gala:go:ho:sgó:ɂi|wigala:go:ho:hi|u:la:go:ho:sdi|ᎦᎳᎪᎰᏍᎦ|||ᎤᎳᎪᎰᏒᎢ|ᎦᎳᎪᎰᏍᎪᎢ|ᏫᎦᎳᎪᎰᎯ|ᎤᎳᎪᎰᏍᏗ|The leaves are turning|100702|rrd
gaɂla:hi||tsiɂlaɂi|u:ɂla:hesv̌:ɂi|gaɂla:hi:só:ɂi|hiɂla:hu:ga|u:ɂla:hvsdi|ᎦᎳᎯ||ᏥᎳᎢ|ᎤᎳᎮᏒᎢ|ᎦᎳᎯᏐᎢ|ᎯᎳᎱᎦ|ᎤᎳᎲᏍᏗ|He is climbing (up)|100703|rrd
galanv:dv̋:ɂi|de:gálanv:dv̋:ɂi||||||ᎦᎳᏅᏛᎢ|ᏕᎦᎳᏅᏛᎢ||||||street|73053|ced
ga:hla:sga||tsilɂa:sga|u:hlanv̌:ɂi|ga:hla:sgó:ɂi|hihla:ga|u:hldi|ᎦᎳᏍᎦ||ᏥᎳᏍᎦ|ᎤᎳᏅᎢ|ᎦᎳᏍᎪᎢ|ᎯᎳᎦ|ᎤᎳᏗ|He is putting it (a solid) into a container|100704|rrd
ga:hlsó:ɂye:ha||tsilɂsó:ɂye:ha|u:hlsó:ɂye:hv̌:ɂi|ga:hlsó:ɂye:sgó:ɂi|hihlsó:ɂye:ha|u:hlsó:ɂyhdi|ᎦᎳᏐᏰᎭ||ᏥᎳᏐᏰᎭ|ᎤᎳᏐᏰᎲᎢ|ᎦᎳᏐᏰᏍᎪᎢ|ᎯᎳᏐᏰᎭ|ᎤᎳᏐᏰᏗ|He is shaking it off of a tree|100705|rrd
galádíɂa||jiládíɂa|ù:ládv̌:ɂi|galadî:sgó:ɂi|hilada|u:ladì:sdi|ᎦᎳᏗᎠ||ᏥᎳᏗᎠ|ᎤᎳᏛᎢ|ᎦᎳᏗᏍᎪᎢ|ᎯᎳᏓ|ᎤᎳᏗᏍᏗ|he's putting a long object in a container|73051|ced
galdiɂa||tsila:diɂa|u:ldɂv̌:ɂi|galdi:sgó:ɂi|hilda|u:ldi:sdi|ᎦᎳᏗᎠ||ᏥᎳᏗᎠ|ᎤᎳᏛᎢ|ᎦᎳᏗᏍᎪᎢ|ᎯᎳᏓ|ᎤᎳᏗᏍᏗ|He is putting it (something long) into a container|100706|rrd
gáladì:sdohdi|digáladì:sdohdi||||||ᎦᎳᏗᏍᏙᏗ|ᏗᎦᎳᏗᏍᏙᏗ||||||container (for a long object)|73052|ced
ga:hladisdo:hdi|||||||ᎦᎳᏗᏍᏙᏗ|||||||Container for something long|100707|rrd
galé:ɂa||jilé:ɂa|ù:lé:sv̌:ɂi|galé:sgó:ɂi|hilagi|u:lè:sdi|ᎦᎴᎠ||ᏥᎴᎠ|ᎤᎴᏒᎢ|ᎦᎴᏍᎪᎢ|ᎯᎳᎩ|ᎤᎴᏍᏗ|he's taking it (solid or flexible object) out of a container|73054|ced
gáɂlè:ga||jíɂlè:ga|ù:lv̂:sv̌:ɂi|gáɂlè:gó:ɂi|hiɂlù:ga|u:lv̀:sdi|ᎦᎴᎦ||ᏥᎴᎦ|ᎤᎸᏒᎢ|ᎦᎴᎪᎢ|ᎯᎷᎦ|ᎤᎸᏍᏗ|he's climbing it|73055|ced
gaɂlè:gi|||||||ᎦᎴᎩ|||||||blacksnake|73056|ced
gaɂle:gi|||||||ᎦᎴᎩ|||||||Blacksnake.; Black rat snake.; biol. <em>Pantherophis obsoletus.</em>|100708|rrd
gaɂle̋:ni|digaɂle̋:ni||||||ᎦᎴᏂ|ᏗᎦᎴᏂ||||||his ear|73057|ced
gale:ɂni|ditsile:ɂni||||||ᎦᎴᏂ|ᏗᏥᎴᏂ||||||Ear|100709|rrd
galhdiha||tsileɂdiha|u:lhtanv̌:ɂi|galhdisgó:ɂi|hilhda|u:lhdo:hdi|ᎦᎴᏗᎭ||ᏥᎴᏗᎭ|ᎤᎴᏔᏅᎢ|ᎦᎴᏗᏍᎪᎢ|ᎯᎴᏓ|ᎤᎴᏙᏗ|He is burning it|100710|rrd
gale:yv̌:sga||jile:yv́:sga|ù:le:yv̌:sv́:ɂi|gale:yv̌:sgóɂi|hile:yv̌:hi|u:le:yv̌:hísdi|ᎦᎴᏴᏍᎦ||ᏥᎴᏴᏍᎦ|ᎤᎴᏴᏒᎢ|ᎦᎴᏴᏍᎪᎢ|ᎯᎴᏴᎯ|ᎤᎴᏴᎯᏍᏗ|a long object is falling from an upright position|73059|ced
galé:yv:sga||jilé:yv:sga|ù:lé:yv:sv̌:ɂi|galé:yv:sgó:ɂi|hilè:yv̌:hi|u:lè:yv̌:hísdi|ᎦᎴᏴᏍᎦ||ᏥᎴᏴᏍᎦ|ᎤᎴᏴᏒᎢ|ᎦᎴᏴᏍᎪᎢ|ᎯᎴᏴᎯ|ᎤᎴᏴᎯᏍᏗ|he's burning|73058|ced
galé:yv:sga||tsilé:yvɂsga|u:lé:yv:sv̌:ɂi|galé:yv:sgó:ɂi|hilé:yvv:hi|u:lé:yv:hisdi|ᎦᎴᏴᏍᎦ||ᏥᎴᏴᏍᎦ|ᎤᎴᏴᏒᎢ|ᎦᎴᏴᏍᎪᎢ|ᎯᎴᏴᎥᎯ|ᎤᎴᏴᎯᏍᏗ|He is hot|100711|rrd
galeyv:sdi:ha||tsileyv:sdiɂa|u:leyv:stanv̌:ɂi|galeyv:sdi:sgó:ɂi|hileyv:sda|u:leyv:stdi|ᎦᎴᏴᏍᏗᎭ||ᏥᎴᏴᏍᏗᎠ|ᎤᎴᏴᏍᏔᏅᎢ|ᎦᎴᏴᏍᏗᏍᎪᎢ|ᎯᎴᏴᏍᏓ|ᎤᎴᏴᏍᏙᏗ|He is cutting a tree|100712|rrd
gaɂliɂa:ɂgaɂi:ha||tsiɂliɂa:ɂgaɂiha|u:ɂliɂa:ɂgasv̌:ɂi|gaɂliɂa:ɂgai:sgó:ɂi|hiɂliɂa:ɂga:ga|u:ɂliɂa:ɂgai:hdi|ᎦᎵᎠᎦᎢᎭ||ᏥᎵᎠᎦᎢᎭ|ᎤᎵᎠᎦᏒᎢ|ᎦᎵᎠᎦᎢᏍᎪᎢ|ᎯᎵᎠᎦᎦ|ᎤᎵᎠᎦᎢᏗ|He is perspiring; sweating|100713|rrd
galí:ɂv:hníha||ji:lí:ɂv:hníha|ù:lí:ɂv:hnilv̌:ɂi|galí:ɂv:hnihó:ɂi|hi:liɂvhnga|u:liɂv̌hnsdi|ᎦᎵᎥᏂᎭ||ᏥᎵᎥᏂᎭ|ᎤᎵᎥᏂᎸᎢ|ᎦᎵᎥᏂᎰᎢ|ᎯᎵᎥᏂᎦ|ᎤᎵᎥᏂᏍᏗ|he's spanking him|73065|ced
gali:ɂv:ni:ha||tsi:li:ɂv:niɂa|u:li:ɂv:nilv̌:ɂi|gali:ɂv:ni:hó:ɂi|hi:li:ɂv:ɂga|u:li:ɂv:sdi|ᎦᎵᎥᏂᎭ||ᏥᎵᎥᏂᎠ|ᎤᎵᎥᏂᎸᎢ|ᎦᎵᎥᏂᎰᎢ|ᎯᎵᎥᎦ|ᎤᎵᎥᏍᏗ|He is assaulting him.; He is beating him up|100714|rrd
galí:ga|||ù:lí:jv̌:ɂi|galí:gó:ɂi|||ᎦᎵᎦ|||ᎤᎵᏨᎢ|ᎦᎵᎪᎢ|||it (forest or grass) is burning|73061|ced
ga:hlga:li|||||||ᎦᎵᎦᎵ|||||||February|100715|rrd
gali:gv|||||||ᎦᎵᎬ|||||||Fire, uncontrolled|100716|rrd
galǐ:ha||jilí:ɂa|ù:lv:hv̌:ɂi|galǐ:sgó:ɂi|hila|uhldi|ᎦᎵᎭ||ᏥᎵᎠ|ᎤᎸᎲᎢ|ᎦᎵᏍᎪᎢ|ᎯᎳ|ᎤᎸᏗ|he's taking a long object out of a container|73062|ced
ga:hliha||tsilɂiha|u:hlv:hnv̌:ɂi|ga:hlihó:ɂi|hihlv:na|u:hlv:ɂdi|ᎦᎵᎭ||ᏥᎵᎭ|ᎤᎸᏅᎢ|ᎦᎵᎰᎢ|ᎯᎸᎾ|ᎤᎸᏗ|He is asleep|100717|rrd
ga:hlkwa:sgo:hi|||||||ᎦᎵᏆᏍᎪᎯ|||||||Seventy|100718|rrd
ga:hlgwadu|||||||ᎦᎵᏆᏚ|||||||Seventeen|100719|rrd
gahlgwǒ:gi|||||||ᎦᎵᏉᎩ|||||||seven|73021|ced
ga:hlgwo:gi|||||||ᎦᎵᏉᎩ|||||||Seven.; A frog|100720|rrd
ga:hlkwo:gi iyu:wo:hliye:da|||||||ᎦᎵᏉᎩ ᎢᏳᏬᎵᏰᏓ|||||||Seven doctorings|100721|rrd
ga:hlkwo:gi tsu:ya:sdu|||||||ᎦᎵᏉᎩ ᏧᏯᏍᏚ|||||||Wild hydrangea.; Sevenbark.; biol. <em>Hydrangea arborescens.</em>|100722|rrd
gahlgwo:gi:ne̋:ɂi|||||||ᎦᎵᏉᎩᏁᎢ|||||||seventh|73022|ced
gali:siha||tsiliɂsiha|u:li:svhv̌:ɂi|gali:sisgó:ɂi|hili:sa|u:li:sv:hdi|ᎦᎵᏏᎭ||ᏥᎵᏏᎭ|ᎤᎵᏒᎲᎢ|ᎦᎵᏏᏍᎪᎢ|ᎯᎵᏌ|ᎤᎵᏒᏗ|He is removing it (something long) from a container|100723|rrd
ga:hltanv:tanv:ɂ a:hdi|||||||ᎦᎵᏔᏅᏔᏅ ᎠᏗ|||||||Can house|100724|rrd
ga:hltanv:do:hdi|||||||ᎦᎵᏔᏅᏙᏗ|||||||Container for solid items|100725|rrd
gahldíha||jilò:díha|ùhltanv́:ɂi|gahldǐ:sgóɂi|hihlda|uhldóhdi|ᎦᎵᏗᎭ||ᏥᎶᏗᎭ|ᎤᎵᏔᏅᎢ|ᎦᎵᏗᏍᎪᎢ|ᎯᎵᏓ|ᎤᎵᏙᏗ|he's putting it into a container|73019|ced
gáɂli:dó:ha||jíɂli:dó:ha|ù:lí:dò:lv̌:ɂi|gáɂli:dó:hó:ɂi|hiɂlǐ:da|u:lǐ:dâ:sdi|ᎦᎵᏙᎭ||ᏥᎵᏙᎭ|ᎤᎵᏙᎸᎢ|ᎦᎵᏙᎰᎢ|ᎯᎵᏓ|ᎤᎵᏓᏍᏗ|he's climbing around|73060|ced
gáhldohdi|digáhldohdi||||||ᎦᎵᏙᏗ|ᏗᎦᎵᏙᏗ||||||container|73020|ced
gahljaɂdi|digahljaɂdi||||||ᎦᎵᏣᏗ|ᏗᎦᎵᏣᏗ||||||bow|73026|ced
ga:hltsa:di|||||||ᎦᎵᏣᏗ|||||||Bow|100726|rrd
galijó:hida|di:nalijó:hida||||||ᎦᎵᏦᎯᏓ|ᏗᎾᎵᏦᎯᏓ||||||fat|73064|ced
ga:hltso:hi:da|||||||ᎦᎵᏦᎯᏓ|||||||Fat|100727|rrd
gahljǒ:de|||||||ᎦᎵᏦᏕ|||||||house|73027|ced
ga:hltso:de|||||||ᎦᎵᏦᏕ|||||||House.; Come in|100728|rrd
gahljo:tv̋:ɂi|de:gáhljo:tv̋:ɂi||||||ᎦᎵᏦᏛᎢ|ᏕᎦᎵᏦᏛᎢ||||||tent|73029|ced
gahljó:tdohdi|||||||ᎦᎵᏦᏛᏙᏗ|||||||roofing|73028|ced
gali:hwó:ga||jilì:wó:ga|ù:li:hwó:jv̌:ɂi|gali:hwó:gó:ɂi|hili:hwò:gi|u:li:hwò:sdi|ᎦᎵᏬᎦ||ᏥᎵᏬᎦ|ᎤᎵᏬᏨᎢ|ᎦᎵᏬᎪᎢ|ᎯᎵᏬᎩ|ᎤᎵᏬᏍᏗ|it (animal, plant) is dying|73063|ced
galoɂa||tsiloɂa|u:loɂv̌:ɂi|galosgó:ɂi|hilotsa|u:losdi|ᎦᎶᎠ||ᏥᎶᎠ|ᎤᎶᎥᎢ|ᎦᎶᏍᎪᎢ|ᎯᎶᏣ|ᎤᎶᏍᏗ|He is breaking it (a solid)|100729|rrd
galo:ɂo:hndiha||tsi:lo:ɂoɂndiha|u:lo:ɂo:hntanv̌:ɂi|galo:ɂo:hndisgó:ɂi|hi:lo:ɂoɂnda|u:lo:ɂo:hndo:hdi|ᎦᎶᎣᏅᏗᎭ||ᏥᎶᎣᏅᏗᎭ|ᎤᎶᎣᏅᏔᏅᎢ|ᎦᎶᎣᏅᏗᏍᎪᎢ|ᎯᎶᎣᏅᏓ|ᎤᎶᎣᏅᏙᏗ|He is making him fall|100730|rrd
galoɂǒ:hsga||tsiloɂoɂsga|u:loɂǒ:hsv̌:ɂi|galoɂǒ:hsgó:ɂi|hiloɂóhi|u:loɂóhisdi|ᎦᎶᎣᏍᎦ||ᏥᎶᎣᏍᎦ|ᎤᎶᎣᏒᎢ|ᎦᎶᎣᏍᎪᎢ|ᎯᎶᎣᎯ|ᎤᎶᎣᎯᏍᏗ|He is falling|100731|rrd
galoge:diɂa||tsiloge:diɂa|u:loge:dɂv̌:ɂi|galoge:di:sgó:ɂi|hiloge:da|u:loge:di:sdi|ᎦᎶᎨᏗᎠ||ᏥᎶᎨᏗᎠ|ᎤᎶᎨᏛᎢ|ᎦᎶᎨᏗᏍᎪᎢ|ᎯᎶᎨᏓ|ᎤᎶᎨᏗᏍᏗ|He is clearing a field|100732|rrd
galo:gí:ɂa||jilo:gí:ɂa|ù:lo:gâ:nv̌:ɂi|galo:gí:sgó:ɂi|hilo:gv̀:ga|u:lǒ:gô:di|ᎦᎶᎩᎠ||ᏥᎶᎩᎠ|ᎤᎶᎦᏅᎢ|ᎦᎶᎩᏍᎪᎢ|ᎯᎶᎬᎦ|ᎤᎶᎪᏗ|he's hoeing it|73066|ced
galó:giɂa||tsiló:giɂa|u:ló:gaɂnv̌:ɂi|galó:gi:sgó:ɂi|hiló:ga:ga|u:ló:go:di|ᎦᎶᎩᎠ||ᏥᎶᎩᎠ|ᎤᎶᎦᏅᎢ|ᎦᎶᎩᏍᎪᎢ|ᎯᎶᎦᎦ|ᎤᎶᎪᏗ|He is hoeing|100733|rrd
galogoho:sga|||u:logoho:sv̌:ɂi|galogoho:sgó:ɂi|wigalogohoga|u:logoho:sdi|ᎦᎶᎪᎰᏍᎦ|||ᎤᎶᎪᎰᏒᎢ|ᎦᎶᎪᎰᏍᎪᎢ|ᏫᎦᎶᎪᎰᎦ|ᎤᎶᎪᎰᏍᏗ|The leaves are turning|100734|rrd
galo:gò:di|digalo:gò:di||||||ᎦᎶᎪᏗ|ᏗᎦᎶᎪᏗ||||||hoe|73068|ced
galo:go:hdi|||||||ᎦᎶᎪᏗ|||||||Hoe|100735|rrd
ga:hlohi|||||||ᎦᎶᎯ|||||||Cullowhee, NC|100736|rrd
galohisdi|||||||ᎦᎶᎯᏍᏗ|||||||Doorway|100737|rrd
galo:hisdi̋:ɂi|digalo:hisdi̋:ɂi||||||ᎦᎶᎯᏍᏗᎢ|ᏗᎦᎶᎯᏍᏗᎢ||||||doorway, door|73071|ced
galo:hisdíha||jiloɂisdíha|ù:lo:histánv́:ɂi|galo:hisdǐ:sgó:ɂi|hilo:hisda|u:lo:hisdóhdi|ᎦᎶᎯᏍᏗᎭ||ᏥᎶᎢᏍᏗᎭ|ᎤᎶᎯᏍᏔᏅᎢ|ᎦᎶᎯᏍᏗᏍᎪᎢ|ᎯᎶᎯᏍᏓ|ᎤᎶᎯᏍᏙᏗ|he's stopping by (on his way somewhere)|73070|ced
galóhisdiha||tsiloɂisdiha|u:lóhistanv̌:ɂi|galóhisdisgó:ɂi|hilóhisda|u:lóhisdo:hdi|ᎦᎶᎯᏍᏗᎭ||ᏥᎶᎢᏍᏗᎭ|ᎤᎶᎯᏍᏔᏅᎢ|ᎦᎶᎯᏍᏗᏍᎪᎢ|ᎯᎶᎯᏍᏓ|ᎤᎶᎯᏍᏙᏗ|He is passing a bill (legislation)|100738|rrd
galo:hiséha||ji:loɂiséha|ù:lo:hisě:lv́:ɂi|galo:hisě:hó:ɂi|hi:loɂisi|u:lo:hiséhdi|ᎦᎶᎯᏎᎭ||ᏥᎶᎢᏎᎭ|ᎤᎶᎯᏎᎸᎢ|ᎦᎶᎯᏎᎰᎢ|ᎯᎶᎢᏏ|ᎤᎶᎯᏎᏗ|he's over-taking him, it|73072|ced
galóhise:ha||tsiloɂise:ha|u:lóhiseɂlv̌:ɂi|galóhise:hó:ɂi|hilóhise:si|u:lóhise:hdi|ᎦᎶᎯᏎᎭ||ᏥᎶᎢᏎᎭ|ᎤᎶᎯᏎᎸᎢ|ᎦᎶᎯᏎᎰᎢ|ᎯᎶᎯᏎᏏ|ᎤᎶᎯᏎᏗ|He is passing by|100739|rrd
galo:nâ:sdiha||ji:lo:nâ:sdiha|ù:lo:nâ:stanv̌:ɂi|galo:nâ:sdi:sgó:ɂi|hi:lo:nà:sda|u:lo:nà:sdóhdi|ᎦᎶᎾᏍᏗᎭ||ᏥᎶᎾᏍᏗᎭ|ᎤᎶᎾᏍᏔᏅᎢ|ᎦᎶᎾᏍᏗᏍᎪᎢ|ᎯᎶᎾᏍᏓ|ᎤᎶᎾᏍᏙᏗ|1. He's bluffing him. 2. he's deceiving him 3. he's tricking him|73074|ced
galǒ:néɂa||jilǒ:né:ɂa|ù:lǒ:néɂv̌:ɂi|galǒ:nê:sgó:ɂi|hilǒ:na|u:lǒ:nê:di|ᎦᎶᏁᎠ||ᏥᎶᏁᎠ|ᎤᎶᏁᎥᎢ|ᎦᎶᏁᏍᎪᎢ|ᎯᎶᎾ|ᎤᎶᏁᏗ|he's oiling it|73075|ced
Gaɂlo:hni|||||||ᎦᎶᏂ|||||||August|73073|ced
galo:ni|||||||ᎦᎶᏂ|||||||August|100740|rrd
galo:nu:hě:ha||jilo:nuɂě:ha|ù:lo:nu:hě:hlv́:ɂi|galo:nu:hě:sgó:ɂi|hilo:nu:hv̌:la|u:lo:nu:hehdi|ᎦᎶᏄᎮᎭ||ᏥᎶᏄᎡᎭ|ᎤᎶᏄᎮᏢᎢ|ᎦᎶᏄᎮᏍᎪᎢ|ᎯᎶᏄᎲᎳ|ᎤᎶᏄᎮᏗ|he's cheating|73077|ced
galo:nvɂe:ha||tsi:lo:nvɂeɂa|u:lo:nvɂe:hlv̌:ɂi|galo:nvɂe:sgó:ɂi|hi:lo:nvɂv:li|u:lo:nvɂe:hdi|ᎦᎶᏅᎡᎭ||ᏥᎶᏅᎡᎠ|ᎤᎶᏅᎡᎸᎢ|ᎦᎶᏅᎡᏍᎪᎢ|ᎯᎶᏅᎥᎵ|ᎤᎶᏅᎡᏗ|He is outwitting him|100741|rrd
galo:nv:he:ha||tsilo:nvɂe:ha|u:lo:nv:he:hlv̌:ɂi|galo:nv:he:sgó:ɂi|hilo:nvɂhv:li|u:lo:nv:he:hdi|ᎦᎶᏅᎮᎭ||ᏥᎶᏅᎡᎭ|ᎤᎶᏅᎮᎸᎢ|ᎦᎶᏅᎮᏍᎪᎢ|ᎯᎶᏅᎥᎵ|ᎤᎶᏅᎮᏗ|He is cheating|100742|rrd
galónhdiha||ji:lónhdiha|ù:lónhtanv̌:ɂi|galónhdǐ:sgóɂi|hi:lònhda|u:lònhdóhdi|ᎦᎶᏅᏗᎭ||ᏥᎶᏅᏗᎭ|ᎤᎶᏅᏔᏅᎢ|ᎦᎶᏅᏗᏍᎪᎢ|ᎯᎶᏅᏓ|ᎤᎶᏅᏙᏗ|he's making him fall from an elevated psition|73076|ced
galò:gwe|digalò:gwe||||||ᎦᎶᏇ|ᏗᎦᎶᏇ||||||gun|73069|ced
galogwe|di:galogwe||||||ᎦᎶᏇ|ᏗᎦᎶᏇ||||||Gun.; Rifle.; Firearm.|101719|rrd
galo:sga||jilò:sga|ù:lo:sv̌:ɂi|galo:sgó:ɂi|hilǒ:hi|u:lo:hisdi|ᎦᎶᏍᎦ||ᏥᎶᏍᎦ|ᎤᎶᏒᎢ|ᎦᎶᏍᎪᎢ|ᎯᎶᎯ|ᎤᎶᎯᏍᏗ|1. v.i. he's passing by without stopping 2. v.t. he's passing it (test, exam, etc.)|73078|ced
galô:sga||jilô:sga|ù:lô:sv̌:ɂi|galô:sgó:ɂi|hilò:hi|u:lò:hísdi|ᎦᎶᏍᎦ||ᏥᎶᏍᎦ|ᎤᎶᏒᎢ|ᎦᎶᏍᎪᎢ|ᎯᎶᎯ|ᎤᎶᎯᏍᏗ|he's falling from an elevated position|73079|ced
gahlotanv́ɂv:sga||tsiloɂtanv́ɂv:sga|u:hlotanv́ɂnv̌:ɂi|gahlotanv́ɂv:sgó:ɂi|hihlotanv́ɂv:ga|u:hlotanv́:di|ᎦᎶᏔᏅᎥᏍᎦ||ᏥᎶᏔᏅᎥᏍᎦ|ᎤᎶᏔᏅᏅᎢ|ᎦᎶᏔᏅᎥᏍᎪᎢ|ᎯᎶᏔᏅᎥᎦ|ᎤᎶᏔᏅᏗ|He is canning it.; He is preserving it|100743|rrd
gáɂluhga||jíɂluhga|ù:lúhjv̌:ɂi|gáɂluhgó:ɂi|hiɂluhgi|u:lúhísdi|ᎦᎷᎦ||ᏥᎷᎦ|ᎤᎷᏨᎢ|ᎦᎷᎪᎢ|ᎯᎷᎩ|ᎤᎷᎯᏍᏗ|he's arriving|73080|ced
galǔ:lô:ga||jilǔ:lô:ga|ù:lǔ:lô:jv̌:ɂi|galǔ:lô:gó:ɂi|hilu:lò:gi|u:lǔ:lô:sdi|ᎦᎷᎶᎦ||ᏥᎷᎶᎦ|ᎤᎷᎶᏨᎢ|ᎦᎷᎶᎪᎢ|ᎯᎷᎶᎩ|ᎤᎷᎶᏍᏗ|1. it's lacking 2. it's missing|73081|ced
galûysga||jilûysga|ù:lû:hyv̌:ɂi|galûysgó:ɂi|hilù:hya|u:lùysdi|ᎦᎷᏯᏍᎦ||ᏥᎷᏯᏍᎦ|ᎤᎷᏴᎢ|ᎦᎷᏯᏍᎪᎢ|ᎯᎷᏯ|ᎤᎷᏯᏍᏗ|he's chopping it|73084|ced
galùysdi|digalùysdi||||||ᎦᎷᏯᏍᏗ|ᏗᎦᎷᏯᏍᏗ||||||axe|73082|ced
galùysdi|ani:galùysdi||||||ᎦᎷᏯᏍᏗ|ᎠᏂᎦᎷᏯᏍᏗ||||||bed bug|73083|ced
galú:ɂyhsga||tsilú:ɂyɂsga|u:lú:ɂyhv̌:ɂi|galú:ɂyhsgó:ɂi|hilú:ɂya|u:lú:ɂyi:sdi|ᎦᎷᏱᏍᎦ||ᏥᎷᏱᏍᎦ|ᎤᎷᏱᎲᎢ|ᎦᎷᏱᏍᎪᎢ|ᎯᎷᏯ|ᎤᎷᏱᏍᏗ|He is chopping it.; He is cutting it with an axe|100745|rrd
galv:ɂv:sga||tsi:lv:ɂvɂsga|u:lv:ɂnv̌:ɂi|galv:ɂv:sgó:ɂi|hi:lv:ɂv:ga|u:lv:ɂdi|ᎦᎸᎥᏍᎦ||ᏥᎸᎥᏍᎦ|ᎤᎸᏅᎢ|ᎦᎸᎥᏍᎪᎢ|ᎯᎸᎥᎦ|ᎤᎸᏗ|He is putting it (something flexible) or it (something alive) into a container|100746|rrd
galv̌:ládi|||||||ᎦᎸᎳᏗ|||||||heaven|73087|ced
galv́:ladi|||||||ᎦᎸᎳᏗ|||||||high|73088|ced
galv́:ladi|||||||ᎦᎸᎳᏗ|||||||Heaven.; Loft.; Upstairs|100747|rrd
galv̌:ládige̋:ɂi|||||||ᎦᎸᎳᏗᎨᎢ|||||||higher|73090|ced
galv̌:ládi:dla|||||||ᎦᎸᎳᏗᏜ|||||||above|73089|ced
galv:laditsa|||||||ᎦᎸᎳᏗᏣ|||||||Upward.; Above|100748|rrd
galv:lő:ɂi|||||||ᎦᎸᎶᎢ|||||||Sky|73091|ced
galv:lo:ɂi|||||||ᎦᎸᎶᎢ|||||||Sky|100749|rrd
galv:ɂna|||||||ᎦᎸᎾ|||||||Gourd.; Bottle groud.; biol. <em>Lagenaria siceraria.</em>; Gourd dipper|100750|rrd
