entrytone|nounadjpluraltone|vfirstprestone|vthirdpasttone|vthirdprestone|vsecondimpertone|vthirdinftone|syllabaryb|nounadjpluralsyllf|vfirstpresh|vthirdpastsyllj|vthirdpressylll|vsecondimpersylln|vthirdinfsyllp|definitiond|id|source
ayé:ga||tsiyé:ga|u:yé:ɂtsv̌:ɂi|ayé:gó:ɂi|hiyé:ɂgi|u:yé:ɂi:sdi|ᎠᏰᎦ||ᏥᏰᎦ|ᎤᏰᏨᎢ|ᎠᏰᎪᎢ|ᎯᏰᎩ|ᎤᏰᎢᏍᏗ|He is waking up|100244|rrd
áyhga||gáyhga|ú:yvlsv̌:ɂi|áyhgó:ɂi|hà:yv̌:la|ù:yv̌:hlísdi|ᎠᏰᎦ||ᎦᏴᎦ|ᎤᏴᎵᏒᎢ|ᎠᏴᎪᎢ|ᎭᏴᎳ|ᎤᏴᏟᏍᏗ|it's crowing, (rooster)|72707|ced
à:hyehgahlv́:sga||jì:yehgahlv́sga|ù:hyehgahlánv́:ɂi|à:hyehgahlv́sgóɂi|hi:hyehgahlv̀:ga|u:hyehgahldi|ᎠᏰᎦᏢᏍᎦ||ᏥᏰᎦᏢᏍᎦ|ᎤᏰᎦᏝᏅᎢ|ᎠᏰᎦᏢᏍᎪᎢ|ᎯᏰᎦᏢᎦ|ᎤᏰᎦᏢᏗ|he's quilting it|72406|ced
ayeka:hli|||||||ᎠᏰᎧᎵ|||||||Quilt|100245|rrd
à:hyeha||jì:yeha|à:hye:hv̌:ɂi|à:hye:hó:ɂi|||ᎠᏰᎭ||ᏥᏰᎭ|ᎠᏰᎲᎢ|ᎠᏰᎰᎢ|||he's holding it in his hand|72405|ced
a:hye:li||tsiɂye:li|u:hye:lésv̌:ɂi|a:hye:li:só:ɂi|hihye:lɂga|u:hye:lvsdi|ᎠᏰᎵ||ᏥᏰᎵ|ᎤᏰᎴᏒᎢ|ᎠᏰᎵᏐᎢ|ᎯᏰᎵᎦ|ᎤᏰᎸᏍᏗ|He is driving a car|100246|rrd
aye:hli|||||||ᎠᏰᎵ|||||||Half.; In the middle.; Between|100247|rrd
à:hye:lí:ɂa||jì:yelí:ɂa|u:hyelǐ:sv̌:ɂi|à:hye:lí:sgó:ɂi|hì:yě:la|u:hye:lì:sdi|ᎠᏰᎵᎠ||ᏥᏰᎵᎠ|ᎤᏰᎵᏒᎢ|ᎠᏰᎵᏍᎪᎢ|ᎯᏰᎳ|ᎤᏰᎵᏍᏗ|1. he's imitating him, it 2. he's mocking him|72408|ced
à:ye:liɂa||tsì:ɂye:liɂa|ù:ye:lvɂv̌:ɂi|à:ye:lisgó:ɂi|hì:ɂye:li|ù:ye:liɂisdi|ᎠᏰᎵᎠ||ᏥᏰᎵᎠ|ᎤᏰᎸᎥᎢ|ᎠᏰᎵᏍᎪᎢ|ᎯᏰᎵ|ᎤᏰᎵᎢᏍᏗ|He is mocking him|100248|rrd
ahyelsdi, hayelsdi|||||||ᎠᏰᎵᏍᏗ, ᎭᏰᎵᏍᏗ|||||||knife|72409|ced
