,SYLLABARY,PRONUNCIATION,POS,DEFINITIONS,HFRANCIS LIST VERIFIED,TLW Notes
,ᏗᏥᎧᏍᎨᏂ,dịtsịkasgeni,,,,
,,,,,,
ENTRY,ᎠᎧᏎᏍᏗᎭ,akạ³sẹsdịha,vt,He is watching it.,,
,ᎦᎧᏎᏍᏗᎭ,gakạ³sẹsdịha,,,,
,ᎤᎧᏎᏍᏓᏅᎢ,ukạ³sẹsdạʔnv²³ʔi,,,,
,ᎠᎧᏎᏍᏗᏍᎪᎢ,akạ³sẹsdịsgo³ʔi,,,,
,ᎭᎧᏎᏍᏓ,hakạ³sẹsda,,,,
,ᎤᎧᏎᏍᏙᏗ,ukạ³sẹsdohdi,,,,
,,,,,,
ENTRY,ᎠᎧᏘᎭ,akạ³tịha,vi,He is peeking.,,
,ᎦᎧᏗᎭ,gakạ³dịha,,,,
,ᎤᎧᏔᏅᎢ,ukạ³tanv²³ʔi,,,,
,ᎠᎧᏘᏍᎪᎢ,akạ³tịsgo³ʔi,,,,
,ᎭᎧᏔ,hakạ³ta,,,,
,ᎤᎧᏙᏗ,ukạ³tohdi,,,,
,,,,,,
ENTRY,ᎠᎧᏲᏍᎦ,ạhkahyosga,vi,He is drying out.,x,
,ᏥᎧᏲᏍᎦ,tsịhkahyosga,,,,
,ᎤᎧᏲᏒᎢ,uhkahyosv²³ʔi,,,,
,ᎠᎧᏲᏍᎪᎢ,ạhkahyosgo³ʔi,,,,
,ᎯᎧᏲᎯ,hịhkahyohi,,,,
,ᎤᎧᏲᎯᏍᏗ,uhkahyohịsdi,,,,
,,,,,,
ENTRY,ᎠᎧᏲᏗᎭ,ạkahyọh³dịha,vt,"He is drying it out.;
He is preserving it.",,
,ᏥᎧᏲᏗᎭ,tsịkahyọh³dịha,,,,
,ᎤᎧᏲᏔᏅᎢ,ukahyọh³tạnv²³ʔi,,,,
,ᎠᎧᏲᏗᏍᎪᎢ,ạkahyọh³dịsgo³ʔi,,,,
,ᎯᎧᏲᏓ,hịkahyọh³da,,,,
,ᎤᎧᏲᏙᏗ,ukahyọh³dohdi,,,,
note,"… ᏃᏊᎴ ᎤᎦᎵᏍᎬ <u>ᎠᎧᏲᏗᏍᎪᎢ</u> ᎠᎹ.
… and then when it is shined on by the sun the water <u>is dried by</u> the sun.
[ᏣᎳᎩ ᏔᎵᏁ ᏗᏂᏂᏙᎯ ᏗᏕᏲᏙᏗ]",,,,,
,,,,,,
ENTRY,ᎠᎨᎯ,ạkẹhi,vt,He is chasing him/it.,,
,ᏥᎨᎯ,tsiʔkẹhi,,,,
,ᎤᎨᎮᏒᎢ,ukẹhẹsv²³ʔi,,,,
,ᎠᎨᏐᎢ,ạkehʔso³ʔi,,,,
,ᎯᎨᎱᎦ,hikẹhuga,,,,
,ᎤᎨᎲᏍᏗ,ukẹhṿsdi,,,,
note,"<u>ᎠᏂᎨᎯ</u> ᎠᏧᏣ ᎩᎵ.
The dogs <u>are chasing</u> the boy.
[King pg 110]",,,,,
,,,,,,
ENTRY,ᎠᎨᏯ,ạgeʔya,vi,He is flowing.,,
,ᏥᎨᏯ,tsịgeʔya,,,,
,ᎤᎨᏴᏒᎢ,ugeʔyvsv²³ʔi,,,,
,ᎠᎨᏲᎢ,ạgeʔyo³ʔi,,,,
,ᎯᎨᏯ,hịgeʔya,,,,
,ᎤᎨᏴᏍᏗ,ugeʔyvsdi,,,,
,,,,,,
ENTRY,ᎠᎨᏯ,ạgehya,n,Woman.,,
,ᏥᎨᏯ,tsịgehya,,,,
note,"ᏍᎩᏉᏃ <u>ᎠᎨᏯ</u> ᎠᏥᎯᎮᎢ.
Actually, <u>a woman</u> was being killed.
[King pg 121]",,,,,
,,,,,,
ENTRY,ᎠᎨᏯᏗᎭ,ạgehydịha,vt,He is refusing to give him.,,
,ᏥᎨᏯᏗᎭ,tsigẹʔydịha,,,,
,ᎤᎨᏯᏔᏅᎢ,ugehytạnv²³ʔi,,,,
,ᎠᎨᏯᏗᏍᎪᎢ,ạgehydịsgo³ʔi,,,,
,ᎯᎨᏯᏓ,higehyda,,,,
,ᎤᎨᏯᏙᏗ,ugehydohdi,,,,
,,,,,,
ENTRY,ᎠᎩᎠ,ạgi³ʔa,vt,"He is getting it (something solid).;
He is picking it up (something solid).",x,
,ᏥᎩᎠ,tsịgi³ʔa,,,,
,ᎤᎩᏒᎢ,ugi³sv²³ʔi,,,,
,ᎠᎩᏍᎪᎢ,ạgi³sgo³ʔi,,,,
,ᎯᎩ,hịgi,,,,
,ᎤᎩᏍᏗ,ugi³sdi,,,,
note,"ᏥᏌ ᎤᎷᏨᎩ <u>ᎤᎩᏒᎩ</u> ᎦᏚ ᎠᎴ ᏚᏁᎸᎩ, ᎠᎴ ᎾᏍᏉ ᎠᏣᏗ ᏚᏅᏁᎸᎩ.
Jesus, therefore, doth come and <u>take</u> the bread and give to them, and the fish in like manner;
[ᏣᏂ 21:13]",,,,,
,,,,,,
ENTRY,ᎠᎩᎠ,ạgịʔa,vt,He is eating it (something solid).,,
,ᏥᎩᎠ,tsịgịʔa,,,,
,ᎤᎬᎢ,ugʔv²³ʔi,,,,
,ᎠᎩᏍᎪᎢ,ạgisgo³ʔi,,,,
,ᎯᎦ,hịga,,,,
,ᎤᎩᏍᏗ,ugisdi,,,,
note,"ᎾᏍᎩᏂ ᎤᏓᏔᏅᎯ ᏥᏡᎦ ᎠᎦᏙᎥᎯᏍᏗ ᎣᏍᏛ ᎨᏒᎢ ᎠᎴ ᎤᏲ ᎨᏒᎢ, ᎥᏝ <u>ᏣᎩᏍᏗ</u> ᏱᎨᏎᏍᏗ, ᎾᎯᏳᏰᏃ ᎢᎦ ᎯᎬᎭ ᎤᏙᎯᏳᏒ ᏣᏲᎱᎯᏍᏗ ᎨᏎᏍᏗ.
and of the tree of knowledge of good and evil, thou dost not <u>eat</u> of it, for in the day of thine eating of it -- dying thou dost die.'
[ᎼᏏ ᎢᎬᏱᏱ 2:17]",,,,,
,,,,,,
ENTRY,ᎠᎩᎡᎭ,ạgiʔeha,vt,He is taking it (something solid) from him.,,
,ᏥᎩᎡᎠ,tsigiʔẹʔa,,,,
,ᎤᎩᎡᎸᎢ,ugiʔẹʔlv²³ʔi,,,,
,ᎠᎩᎡᎰᎢ,ạgiʔeho³ʔi,,,,
,ᎯᎩᎢ,higiʔi,,,,
,ᎤᎩᎡᏗ,ugiʔehdi,,,,
note,"<u>ᎯᎩ</u> ᎬᏁᎸᎯ ᎾᏍᎩ ᏥᏪᏣᏲᎮᎸ …
<u>receive</u>, I pray thee, my blessing …
[ᎼᏏ ᎢᎬᏱᏱ 33:11]",,,,,
,,,,,,
ENTRY,ᎠᎩᎵᎩᎠ,ạkịligiʔa,vt,"He is removing, taking it down (something alive) from a raised surface or shelf.",,"King tried to squeeze in ""rsuf"" for raised surface here. It's not ""remove an animal from a pasture"". "
,ᏥᎩᎵᎩᎠ,tsikịligiʔa,,,,
,ᎤᎩᎵᎩᏒᎢ,ukịligisv²³ʔi,,,,
,ᎠᎩᎵᎩᏍᎪᎢ,ạkịligisgo³ʔi,,,,
,ᎯᎩᎵᎩ,hikịligi,,,,
,ᎤᎩᎵᎩᏍᏗ,ukịligisdi,,,,
,,,,,,
ENTRY,ᎠᎩᎵᏲᎦ,ạgihlị³yoga,vi,He is suffering.,,
